urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:procedure,urn:ogc:def:parameter:x-istsos:1.0:river:water:height,urn:ogc:def:parameter:x-istsos:1.0:river:water:height:qualityIndex
2019-02-25T13:04:03+05:30,MASPOTHA_WL,0.13,100
2019-02-25T13:14:03+05:30,MASPOTHA_WL,0.15,100
2019-02-25T13:24:04+05:30,MASPOTHA_WL,0.17,100
2019-02-25T13:34:04+05:30,MASPOTHA_WL,0.16,100
2019-02-25T13:44:04+05:30,MASPOTHA_WL,0.14,100
2019-02-25T13:54:05+05:30,MASPOTHA_WL,0.13,100
2019-02-25T14:04:06+05:30,MASPOTHA_WL,0.14,100
2019-02-25T14:14:06+05:30,MASPOTHA_WL,0.15,100
2019-02-25T14:24:07+05:30,MASPOTHA_WL,0.15,100
2019-02-25T14:34:07+05:30,MASPOTHA_WL,0.13,100
2019-02-25T14:44:08+05:30,MASPOTHA_WL,0.13,100
2019-02-25T14:54:08+05:30,MASPOTHA_WL,0.12,100
2019-02-25T15:04:08+05:30,MASPOTHA_WL,0.11,100
2019-02-25T15:14:09+05:30,MASPOTHA_WL,0.11,100
2019-02-25T15:24:09+05:30,MASPOTHA_WL,0.13,100
2019-02-25T15:34:09+05:30,MASPOTHA_WL,0.14,100
2019-02-25T15:44:10+05:30,MASPOTHA_WL,0.13,100
2019-02-25T15:54:10+05:30,MASPOTHA_WL,0.14,100
2019-02-25T16:04:11+05:30,MASPOTHA_WL,0.13,100
2019-02-25T16:14:11+05:30,MASPOTHA_WL,0.15,100
2019-02-25T16:24:12+05:30,MASPOTHA_WL,0.17,100
2019-02-25T16:34:12+05:30,MASPOTHA_WL,0.18,100
2019-02-25T16:44:12+05:30,MASPOTHA_WL,0.19,100
2019-02-25T16:54:13+05:30,MASPOTHA_WL,0.21,100
2019-02-25T17:04:13+05:30,MASPOTHA_WL,0.22,100
2019-02-25T17:14:13+05:30,MASPOTHA_WL,0.22,100
2019-02-25T17:24:14+05:30,MASPOTHA_WL,0.23,100
